Date,Adj Close
1970-01-02,809.2000122070312
1970-01-05,811.3099975585938
1970-01-06,803.6599731445312
1970-01-07,801.8099975585938
1970-01-08,802.0700073242188
1970-01-09,798.1099853515625
1970-01-12,790.52001953125
1970-01-13,788.010009765625
1970-01-14,787.1599731445312
1970-01-15,785.0399780273438
1970-01-16,782.5999755859375
1970-01-19,776.0700073242188
1970-01-20,777.8499755859375
1970-01-21,782.27001953125
1970-01-22,786.0999755859375
1970-01-23,775.5399780273438
1970-01-26,768.8800048828125
1970-01-27,763.989990234375
1970-01-28,758.8400268554688
1970-01-29,748.3499755859375
1970-01-30,744.0599975585938
1970-02-02,746.4400024414062
1970-02-03,757.4600219726562
1970-02-04,754.489990234375
1970-02-05,750.260009765625
1970-02-06,752.77001953125
1970-02-09,755.6799926757812
1970-02-10,746.6300048828125
1970-02-11,757.3300170898438
1970-02-12,755.6099853515625
1970-02-13,753.2999877929688
1970-02-16,753.7000122070312
1970-02-17,747.4299926757812
1970-02-18,756.7999877929688
1970-02-19,757.9199829101562
1970-02-20,757.4600219726562
1970-02-24,754.4199829101562
1970-02-25,768.280029296875
1970-02-26,764.4500122070312
1970-02-27,777.5900268554688
1970-03-02,780.22998046875
1970-03-03,787.4199829101562
1970-03-04,788.1500244140625
1970-03-05,787.5499877929688
1970-03-06,784.1199951171875
1970-03-09,778.3099975585938
1970-03-10,779.7000122070312
1970-03-11,778.1199951171875
1970-03-12,776.469970703125
1970-03-13,772.1099853515625
1970-03-16,765.0499877929688
1970-03-17,767.4199829101562
1970-03-18,767.9500122070312
1970-03-19,764.97998046875
1970-03-20,763.6599731445312
1970-03-23,763.5999755859375
1970-03-24,773.760009765625
1970-03-25,790.1300048828125
1970-03-26,791.0499877929688
1970-03-30,784.6500244140625
1970-03-31,785.5700073242188
1970-04-01,792.0399780273438
1970-04-02,792.3699951171875
1970-04-03,791.8400268554688
1970-04-06,791.1799926757812
1970-04-07,791.6400146484375
1970-04-08,791.6400146484375
1970-04-09,792.5
1970-04-10,790.4600219726562
1970-04-13,785.9000244140625
1970-04-14,780.5599975585938
1970-04-15,782.5999755859375
1970-04-16,775.8699951171875
1970-04-17,775.9400024414062
1970-04-20,775.8699951171875
1970-04-21,772.510009765625
1970-04-22,762.6099853515625
1970-04-23,750.5900268554688
1970-04-24,747.2899780273438
1970-04-27,735.1500244140625
1970-04-28,724.3300170898438
1970-04-29,737.3900146484375
1970-04-30,736.0700073242188
1970-05-01,733.6300048828125
1970-05-04,714.5599975585938
1970-05-05,709.739990234375
1970-05-06,718.3900146484375
1970-05-07,723.0700073242188
1970-05-08,717.72998046875
1970-05-11,710.0700073242188
1970-05-12,704.5900268554688
1970-05-13,693.8400268554688
1970-05-14,684.7899780273438
1970-05-15,702.219970703125
1970-05-18,702.8099975585938
1970-05-19,691.4000244140625
1970-05-20,676.5499877929688
1970-05-21,665.25
1970-05-22,662.1699829101562
1970-05-25,641.3599853515625
1970-05-26,631.1599731445312
1970-05-27,663.2000122070312
1970-05-28,684.1500244140625
1970-05-29,700.4400024414062
1970-06-01,710.3599853515625
1970-06-02,709.6099853515625
1970-06-03,713.8599853515625
1970-06-04,706.530029296875
1970-06-05,695.030029296875
1970-06-08,700.22998046875
